current_mret,current_sp500_ret,current_excess_ret,current_net_flow,current_mtna,current_exp_ratio,current_mgmt_fee,current_turn_ratio,current_age,current_tenure,fund_trailing_period_return,fund_trailing_max_drawdown,fund_trailing_beta_vs_sp500,trailing_avg_net_flow,trailing_sum_net_flow,trailing_avg_mtna,trailing_avg_exp_ratio,trailing_avg_mgmt_fee,trailing_avg_turn_ratio,trailing_avg_age,trailing_avg_tenure,yield10y,stock_allocation,bond_allocation,cash_allocation,portfolio_beta,technology_exposure,bond_money_exposure,indirect_equity_exposure,company_equity_exposure_proxy,top_holding_concentration,delta_stock,delta_beta,delta_technology,delta_bond_money,delta_indirect_equity,style_deviation_score,rolling_style_deviation_score,action_strength,manager_reliability_score,manager_defensive_score,manager_flow_score,manager_growth_tilt_score,holding_row_count,beta_matched_holding_count,non_individual_matched_holding_count
-0.045652174,-0.0173271635382518,-0.0283250104617481,-1410000.0,174.4,0.0089,0.652,0.38,19.0,,0.4852039933608861,-0.026798307,0.3669229892845067,-110416.66666666669,-6625000.0,190.97666666666663,0.0084933333333333,0.6218666666666668,0.7073333333333333,16.083333333333332,,3.74,0.021899986267,0.978100013733,0.0,0.0050864055407581,0.0,0.247499923705,0.5345266664172096,0.021899986267,0.247499923705,0.003099994659,-0.0103579229568962,0.0,-1.260699243585,0.0224618141336279,0.5078759239721442,0.5078759239721442,1.260699243585,1.0,0.3167253759653163,0.9568913175470553,0.4890484577518855,10,1,10
0.0388976201333333,0.026634716839728,0.0122629032936053,-9654000.0,108.83333333333331,0.0122333333333333,0.532,0.86,35.0,0.0,0.6311751137144577,-0.05415233875,0.5372547560466454,1810883.3333333333,108653000.0,83.6372222222222,0.0136869444444444,0.5386000000000001,1.4073333333333335,31.397222222222226,0.5774583618526123,1.98,2.9262989138720004,0.0,0.0,2.6314489562725973,0.040099983216,1.52909934039,0.4213570360869877,2.9262989138720004,3.065398864662,1.4439990901230004,1.947950673181084,-0.001099996566,-0.0454004192719998,-0.0056246575463911,0.4926212255450789,0.5762313865771324,1.947950673181084,0.5752498183723813,0.4036490087160727,0.7657525467179384,0.7369710517996658,10,5,6
-0.001419446,-0.0010613773892997,-0.0003580686107003,-3927000.0,125.6,0.0109,1.003,0.37,11.0,12.243668720054757,0.5447139106934511,-0.047393365,0.489006522781321,447016.6666666667,26821000.0,99.57833333333332,0.0112133333333333,0.9870833333333332,0.4273333333333333,8.416666666666666,9.702669404517454,2.04,0.4709,0.0,1.12,0.1390892911216943,0.0,0.198999881748,0.4213570360869877,0.093999977111,0.382799835208,0.0059,0.0535307706111083,0.0,-0.012000026701,0.3909570460049877,0.0406467186568372,0.0404476901155485,0.3909570460049877,0.5000954794698215,0.5362417016664409,0.7226522971058491,0.5538770717608273,10,4,2
-0.001691094,-0.0125878042872713,0.0108967102872713,134961000.0,4174.6,,,,17.0,,,,,,,,,,,,,3.41,0.6169,0.3331,0.05,3.8387824278687135,2.4499988556,2.720898866689,0.031999988556,6.14779820453,7.212897462945,-5.321098638071,0.4851757890937036,0.0199995040999998,-0.0005004596339999,-0.0061000061029999,1.5805157402216816,0.8443231536312295,5.321098638071,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,7,6
0.0172661871,0.0185274831668353,-0.0012612960668352,0.0,17.5,0.0035,-0.407,0.38,4.0,,,,,0.0,0.0,11.214634146341464,0.0043841463414634,-0.5165365853658537,0.4319512195121951,1.951219512195122,,4.6,,,0.0,0.0,0.0,0.6560999999999999,1.3361,0.0,1.9922,,0.0,0.0,-0.0144,-0.012,0.8602641395062267,0.3656865559990219,0.0144,1.0,0.3167253759653163,0.9568913175470553,0.4890484577518855,10,0,10
-0.0248444952,-0.0128488145184894,-0.0119956806815105,0.0,120.78,0.01364,0.8112,0.7,24.8,5.888569472963724,0.0914175464786894,-0.232241072,0.8827368641099036,0.0,0.0,135.71508333333333,0.0138753333333333,0.6799416666666667,0.6203333333333334,24.905,3.6227424138717774,2.3,0.6541,0.0,0.63,0.2094946914137877,0.0,0.053799991608,0.4125538645278307,0.184499931336,0.353299865724,0.446600076293,-0.0174932742730068,0.0,0.024899997712,0.0,0.0718327236572982,0.0725097904054071,0.446600076293,0.6038438627910778,0.1940906832859142,0.4278907778452405,0.6229169489229102,10,5,2
0.0219923791499999,0.026634716839728,-0.004642337689728,0.0,183.3,,,,17.5,,0.5973346522772336,-0.030110901,0.2829504868549017,-2931233.333333333,-175874000.0,202.6533333333333,,,,14.916666666666666,,1.98,0.150399971009,0.849600028991,0.0,0.1535066668968661,0.0,0.145799970627,0.4213570360869877,0.150399971009,0.203099956513,0.017199993134,0.0160269729434336,0.0,-0.0341999816899999,0.0,0.4229485045470277,0.1588113546665875,0.0341999816899999,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,8,7
-0.017391304,0.0133583963761305,-0.0307497003761305,1015000.0,8.4,0.0116,0.452,0.14,7.0,0.0,0.5860579016906797,-0.04506232,0.3630639292014215,27366.666666666668,1642000.0,6.035,0.0110766666666666,0.3789666666666667,0.2116666666666666,4.316666666666666,0.0,2.54,0.091599969864,0.908400030136,0.0,0.0997486221294946,0.0,0.226399908067,0.4269816936333789,0.091599969864,0.314899883271,-0.343900030136,-0.0277444728548061,-0.018499994278,0.096999931337,0.0,0.0388432249590188,0.0393871926814088,0.343900030136,0.4673521144536832,0.6772682111728311,0.4677106523645686,0.5582915594092941,10,5,5
-0.04720779,-0.0096430469666162,-0.0375647430333838,0.0,19.7,0.008,0.414,0.34,13.0,14.743326488706366,0.2512430877437708,-0.111658456,0.4576943119132003,0.0,0.0,12.99,0.008,0.2858666666666666,0.2533333333333333,10.733333333333333,12.201140771161306,1.98,0.6559,0.0,0.61,3.304680120682627,1.347399921411,5.0199985505,0.4635368486092023,7.707398624511,11.587396831611,-0.0235999999999999,0.8222137439533936,-0.0083992767259999,3.7832992458740007,0.0,0.5895423248519819,0.5497343630837687,3.7832992458740007,0.4932234441832482,0.6331459151876438,0.5910746812386156,0.7548096463893782,10,7,4
-0.005718962,0.025580064280368,-0.0312990262803679,0.0,305.8666666666667,,,,7.0,,1.2080102588580388,-0.066666821,0.5282092021472586,0.0,0.0,191.7783333333333,,,,4.916666666666667,,2.72,0.6886,0.2717,0.0397,0.0,0.0,0.1979998779299999,0.349999866483,0.0,0.547999744413,,0.0,0.0,0.0006999206499999,-0.0075000190779999,0.3922935581714338,0.0219433046855419,0.0075000190779999,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,0,10
-0.0101921505,0.0133583963761305,-0.0235505468761305,0.0,1543.0,,,,16.5,,0.7578077733650423,-0.0489627005,0.4651570910448136,0.0,0.0,1339.6699999999998,,,,13.833333333333334,,2.54,2.904298448541,0.0,0.0,2.609691232594887,0.0,5.84039733886,0.4269816936333789,2.904298448541,5.855597333901001,2.324398448541,-1.0278831751921818,0.0,1.3283986949879996,0.0,1.1058888318203648,0.5025295810174727,2.324398448541,0.8956862230389225,0.5232127534661067,0.919989205963705,0.664973129205618,10,5,9
-0.0134466625,-0.0128488145184895,-0.0005978479815104,1344000.0,39.65,0.0146249999999999,0.285,0.89,11.25,0.487337440109514,0.231130971836465,-0.10472518625,0.484581711378118,-19569733.33333333,-1174184000.0,58.855,0.0146249999999999,0.3174333333333333,0.9926666666666668,8.695833333333333,0.0202144649783253,2.3,0.3711,0.5842,0.0447,0.8020328511508829,0.0,5.85079803462,0.039599990845,0.6999998093,6.590397834765,-0.9588994468,-0.2436889823842524,-0.6499996185,0.5991003417300007,0.005300006867,1.082020818044939,0.675809284189182,0.9588994468,0.6738313199128667,0.373086302669015,0.4298724954462659,0.5167208598654202,10,1,9
